index,id,name
0,1bch,1BCH
1,3xcalibur,3xcalibur
2,aave,Aave
3,abcc,ABCC
4,acala_swap,Acala Swap
5,acdx,ACDX
6,ace,Ace
7,acsi_finance,Acsi Finance
8,agora_swap,Agora Swap
9,alexgo,ALEX
10,algebra_finance,Algebra finance
11,alienfi,AlienFi
12,alpha_five,Alpha5
13,altcointrader,AltcoinTrader
14,alterdice,AlterDice
15,altmarkets,Altmarkets
16,amaterasu,Amaterasu Finance
17,animeswap,Animeswap
18,apeswap-arbitrum,Apeswap (Arbitrum)
19,apeswap_bsc,ApeSwap
20,apeswap_polygon,ApeSwap (Polygon)
21,apeswap_telos,Apeswap (Telos)
22,apex_pro,ApeX Pro
23,aprobit,Aprobit
24,aqx,AQX
25,aqx_derivatives,AQX (Derivatives)
26,arbidex,Arbidex
27,arbswap_arbitrum_one,Arbswap
28,archerswap,Archerswap
29,arthswap,ArthSwap
30,ashswap,Ashswap
31,astroport,Astroport (Classic)
32,astroport_injective,Astroport (Injective)
33,astroport_neutron,Astroport (Neutron)
34,astroport_v2,Astroport V2
35,auroraswap,AuroraSwap
36,autoshark_finance,AutoShark Finance
37,aux,AUX Exchange
38,azbit,Azbit
39,b2bx,B2BX
40,babydogeswap,BabyDogeSwap
41,babyswap,BabySwap
42,baguette,Baguette
43,bakeryswap,Bakeryswap
44,bakkt,Bakkt
45,balanced_network,Balanced
46,balancer,Balancer V2
47,balancer_arbitrum,Balancer V2 (Arbitrum)
48,balancer-gnosis,Balancer V2 (Gnosis)
49,balancer_polygon,Balancer V2 (Polygon)
50,balancer_v1,Balancer V1
51,bancor,Bancor (V2)
52,bancor_v3,Bancor (V3)
53,baptswap,BAPTSwap
54,baryon_network,Baryon Network
55,basefex,BaseFEX
56,bcex,BCEX
57,beamswap,Beamswap
58,beaxy,Beaxy
59,beethovenx,Beethoven X
60,beethoven_x_optimism,Beethoven X (Optimism)
61,benswap_smart_bitcoin_cash,Benswap
62,bgogo,Bgogo
63,bibox,Bibox
64,bibox_futures,Bibox (Futures)
65,biconomy,Biconomy
66,bigone,BigONE
67,bigone_futures,BigONE Futures
68,bilaxy,Bilaxy
69,binance,Binance
70,binance_dex,Binance DEX
71,binance_dex_mini,Binance DEX (Mini)
72,binance_futures,Binance (Futures)
73,binance_us,Binance US
74,bingx,BingX
75,bingx_futures,BingX (Futures)
76,bione,BiONE
77,birake,Birake
78,bisq,Bisq
79,biswap,Biswap
80,bit2c,Bit2c
81,bit2me,Bit2Me
82,bitazza,Bitazza
83,bitbank,Bitbank
84,bitbay,Zonda
85,bitbegin,Bitbegin
86,bitbns,BitBNS
87,bitbox,BITFRONT
88,bitbuy,Bitbuy
89,bitci,Bitci TR
90,bitcoin_com,FMFW.io
91,bit_com,BIT
92,bit_com_futures,BIT (Futures)
93,bitexbook,BITEXBOOK
94,bitexen,Bitexen
95,bitexlive,Bitexlive
96,bitfex,Bitfex
97,bitfinex,Bitfinex
98,bitfinex_futures,Bitfinex (Futures)
99,bitflyer,bitFlyer
100,bitflyer_futures,Bitflyer (Futures)
101,bitforex,Bitforex
102,bitforex_futures,Bitforex (Futures)
103,bitget,Bitget
104,bitget_futures,Bitget Futures
105,bithash,BitHash
106,bithumb,Bithumb
107,bithumb_futures,Bithumb (Futures)
108,bithumb_global,BitGlobal
109,bitinka,Bitinka.com
110,bitkonan,BitKonan
111,bitkub,Bitkub
112,bitlo,Bitlo
113,bitmake,BitMake
114,bitmart,BitMart
115,bitmart_futures,Bitmart Futures
116,bitmax,AscendEX (BitMax)
117,bitmax_futures,AscendEX  (BitMax) (Futures)
118,bitmex,BitMEX (Derivative)
119,bitmex_spot,BitMEX
120,bitonbay,BitOnBay
121,bitopro,BitoPro
122,bitpanda,Bitpanda Pro
123,bitrue,Bitrue
124,bitrue_futures,Bitrue (Futures)
125,bitso,Bitso
126,bitstamp,Bitstamp
127,bitsten,Bitsten
128,bitstorage,BitStorage
129,bittrex,Bittrex Global
130,bitubu,Bitubu Exchange
131,bitvavo,Bitvavo
132,bitz_futures,BitZ (Futures)
133,bkex,BKEX
134,blockchain_com,Blockchain.com
135,bluemove,BlueMove
136,bobswap_polygon,BobSwap (Polygon)
137,bossswap,BossSwap
138,btc_alpha,BTC-Alpha
139,btcbox,BTCBOX
140,btcc,BTCC
141,btcc_futures,BTCC Futures
142,btcex,BTCEX
143,btcex_futures,BTCEX (Futures)
144,btcmarkets,BTCMarkets
145,btcmex,BTCMEX
146,btcsquare,BTCSquare
147,btc_trade_ua,BTC Trade UA
148,btcturk,BtcTurk PRO
149,btse,BTSE
150,btse_futures,BTSE (Futures)
151,bullish_com,Bullish
152,buyucoin,BuyUcoin
153,bw,BW.com
154,bybit,Bybit (Futures)
155,bybit_spot,Bybit
156,bytex,Bytex
157,camelot,Camelot
158,camelot-v3,Camelot V3
159,canto_dex,Canto Dex
160,cantoswap,Cantoswap
161,capricorn,Capricorn
162,catex,Catex
163,cetus,Cetus
164,cex,CEX.IO
165,chainex,ChainEX
166,changelly,Changelly PRO
167,cherryswap,CherrySwap
168,chiliz,ChilizX
169,chronos,Chronos
170,citex,CITEX
171,claimswap,Claimswap
172,clipper_ethereum,Clipper (Ethereum)
173,clipper_moonbeam,Clipper (Moonbeam)
174,clipper_optimism,Clipper (Optimism)
175,clipper_polygon,Clipper (Polygon)
176,cme_futures,CME Group
