index,id,name
0,1bch,1BCH
1,3xcalibur,3xcalibur
2,aave,Aave
3,aax,AAX
4,aax_futures,AAX Futures
5,abcc,ABCC
6,acala_swap,Acala Swap
7,acdx_futures,ACDX Futures
8,ace,ace
9,acsi_finance,Acsi Finance
10,aex,AEX
11,agora_swap,Agora Swap
12,alexgo,ALEX
13,algebra_finance,Algebra finance
14,alpha_five,Alpha5
15,altcointrader,AltcoinTrader
16,alterdice,AlterDice
17,altmarkets,Altmarkets
18,amaterasu,Amaterasu Finance
19,apeswap_bsc,ApeSwap
20,apeswap_polygon,ApeSwap (Polygon)
21,apeswap_telos,Apeswap (Telos)
22,apex_pro,ApeX Pro
23,aprobit,Aprobit
24,arthswap,ArthSwap
25,astroport,Astroport (Classic)
26,auroraswap,AuroraSwap
27,autoshark_finance,AutoShark Finance
28,azbit,Azbit
29,b2bx,B2BX
30,babydogeswap,BabyDogeSwap
31,babyswap,BabySwap
32,baguette,Baguette
33,bakeryswap,Bakeryswap
34,bakkt,Bakkt
35,balanced_network,Balanced Network
36,balancer,Balancer (v2)
37,balancer_arbitrum,Balancer (Arbitrum)
38,balancer_polygon,Balancer (Polygon)
39,balancer_v1,Balancer (v1)
40,bancor,Bancor (V2)
41,bancor_v3,Bancor (V3)
42,baryon_network,Baryon Network
43,basefex,BaseFEX
44,beamswap,Beamswap
45,beaxy,Beaxy
46,beethovenx,Beethoven X
47,benswap_smart_bitcoin_cash,Benswap
48,bgogo,Bgogo
49,bibox,Bibox
50,bibox_futures,Bibox (Futures)
51,biconomy,Biconomy
52,bigone,BigONE
53,bigone_futures,BigONE Futures
54,bilaxy,Bilaxy
55,binance,Binance
56,binance_dex,Binance DEX
57,binance_dex_mini,Binance DEX (Mini)
58,binance_futures,Binance (Futures)
59,binance_us,Binance US
60,bingx,BingX
61,bingx_futures,BingX (Futures)
62,bione,BiONE
63,birake,Birake
64,bisq,Bisq
65,biswap,Biswap
66,bit2c,Bit2c
67,bitazza,Bitazza
68,bitbank,Bitbank
69,bitbay,Zonda
70,bitbns,BitBNS
71,bitbox,BITFRONT
72,bitbuy,Bitbuy
73,bitci,Bitci
74,bitcoin_com,FMFW.io
75,bit_com,BIT
76,bit_com_futures,BIT (Futures)
77,bitexbook,BITEXBOOK
78,bitexen,Bitexen
79,bitexlive,Bitexlive
80,bitfex,Bitfex
81,bitfinex,Bitfinex
82,bitfinex_futures,Bitfinex (Futures)
83,bitflyer,bitFlyer
84,bitflyer_futures,Bitflyer (Futures)
85,bitforex,Bitforex
86,bitforex_futures,Bitforex (Futures)
87,bitget,Bitget
88,bitget_futures,Bitget Futures
89,bithash,BitHash
90,bithumb,Bithumb
91,bithumb_futures,Bithumb (Futures)
92,bithumb_global,BitGlobal
93,bitinka,Bitinka.com
94,bitkonan,BitKonan
95,bitkub,Bitkub
96,bitlo,Bitlo
97,bitmart,BitMart
98,bitmart_futures,Bitmart Futures
99,bitmax,AscendEX (BitMax)
100,bitmax_futures,AscendEX  (BitMax) (Futures)
101,bitmex,BitMEX (Derivative)
102,bitmex_spot,BitMEX
103,bitoffer,Bitoffer
104,bitonbay,BitOnBay
105,bitopro,BitoPro
106,bitpanda,Bitpanda Pro
107,bitrue,Bitrue
108,bitrue_futures,Bitrue (Futures)
109,bitso,Bitso
110,bitstamp,Bitstamp
111,bitsten,Bitsten
112,bitstorage,BitStorage
113,bittrex,Bittrex
114,bitubu,Bitubu Exchange
115,bitvavo,Bitvavo
116,bitz_futures,BitZ (Futures)
117,bkex,BKEX
118,blockchain_com,Blockchain.com
119,bossswap,BossSwap
120,btc_alpha,BTC-Alpha
121,btcbox,BTCBOX
122,btcc,BTCC
123,btcc_futures,BTCC Futures
124,btcex,BTCEX
125,btcex_futures,BTCEX (Futures)
126,btcmarkets,BTCMarkets
127,btcmex,BTCMEX
128,btcsquare,BTCSquare
129,btc_trade_ua,BTC Trade UA
130,btcturk,BtcTurk PRO
131,btse,BTSE
132,btse_futures,BTSE (Futures)
133,bullish_com,Bullish
134,buyucoin,BuyUcoin
135,bw,BW.com
136,bybit,Bybit (Futures)
137,bybit_spot,Bybit
138,camelot,Camelot
139,canto_dex,Canto Dex
140,capricorn,Capricorn
141,catex,Catex
142,cbx,CBX
143,ccex,C-CEX
144,cex,CEX.IO
145,chainex,ChainEX
146,changelly,Changelly PRO
147,cherryswap,CherrySwap
148,chiliz,ChilizX
149,citex,CITEX
150,claimswap,Claimswap
151,clipper_ethereum,Clipper (Ethereum)
152,clipper_moonbeam,Clipper (Moonbeam)
153,clipper_optimism,Clipper (Optimism)
154,clipper_polygon,Clipper (Polygon)
155,cme_futures,CME Group
156,coinbene,CoinBene
157,coincheck,Coincheck
158,coindcx,CoinDCX
159,coindeal,Coindeal
160,coin_egg,CoinEgg
161,coinex,CoinEx
162,coinex_futures,CoinEx (Futures)
163,coinfalcon,Coinfalcon
164,coinfield,Coinfield
165,coinflex,CoinFLEX
166,coinflex_futures,CoinFLEX (Futures)
167,coingi,Coingi
168,coinjar,CoinJar Exchange
169,coinlist,Coinlist
170,coinmargin,CoinMargin
171,coin_metro,Coinmetro
172,coinone,Coinone
173,coinsbit,Coinsbit
174,coinspro,Coins.ph
175,coinstore,Coinstore
176,cointiger,CoinTiger
177,cointiger_futures,CoinTiger (Futures)
178,coinzix,Coinzix
179,coinzoom,Coinzoom
