index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,9inch,9inch
4,aave,Aave
5,aboard-exchange,Aboard Exchange
6,abstradex,AbstraDEX
7,abstradex-x-layer,Abstradex (X Layer)
8,acala_swap,Acala Swap
9,acdx,ACDX
10,ace,Ace
11,acsi_finance,Acsi Finance
12,aerodrome-base,Aerodrome (Base)
13,aerodrome-slipstream,Aerodrome SlipStream
14,aevo,Aevo
15,aftermath_finance,Aftermath Finance
16,agni-finance,Agni Finance
17,agora_swap,Agora Swap
18,aktionariat-ethereum,Aktionariat (Ethereum)
19,alcor,Alcor
20,alexgo,ALEX
21,algebra_finance,Algebra finance
22,alien-base,Alien Base
23,alienfi,AlienFi
24,allinxswap-opbnb,AllInXSwap (opBnb)
25,altcointrader,AltcoinTrader
26,alterdice,AlterDice
27,amaterasu,Amaterasu Finance
28,animeswap,Animeswap
29,antfarm-avalanche,Antfarm (Avalanche)
30,antfarm-ethereum,Antfarm (Ethereum) 
31,apertureswap,ApertureSwap
32,apeswap-arbitrum,Apeswap (Arbitrum)
33,apeswap_bsc,ApeSwap
34,apeswap_polygon,ApeSwap (Polygon)
35,apeswap_telos,Apeswap (Telos)
36,apex_pro,ApeX Pro
37,aprobit,Aprobit
38,aqx,AQX
39,aqx_derivatives,Flipster
40,arbidex,Arbidex
41,arbswap_arbitrum_one,Arbswap
42,archerswap,Archerswap
43,armada,Armada
44,arthswap,ArthSwap
45,arthswap-astar-zkevm,ArthSwap (Astar zkEVM)
46,ashswap,Ashswap
47,astroport_injective,Astroport (Injective)
48,astroport_neutron,Astroport (Neutron)
49,astroport-sei,Astroport (Sei)
50,astroport_v2,Astroport V2
51,astrovault,Astrovault
52,auroraswap,AuroraSwap
53,autoshark_finance,AutoShark Finance
54,aux,AUX Exchange
55,ayin,AYIN
56,azbit,Azbit
57,babydogeswap,BabyDogeSwap
58,babyswap,BabySwap
59,backpack_exchange,Backpack Exchange 
60,baguette,Baguette
61,bakeryswap,Bakeryswap
62,bakeryswap-base,BakerySwap (Base)
63,balanced_network,Balanced
64,balancer,Balancer V2
65,balancer_arbitrum,Balancer V2 (Arbitrum)
66,balancer-gnosis,Balancer V2 (Gnosis)
67,balancer_polygon,Balancer V2 (Polygon)
68,balancer_v1,Balancer V1
69,balancer-v2-avalanche,Balancer V2 (Avalanche)
70,balancer-v2-base,Balancer V2 (Base)
71,balancer-v2-polygon-zkevm,Balancer V2 (Polygon zkEVM) 
72,bancor,Bancor (V2)
73,bancor_v3,Bancor (V3)
74,baptswap,BAPTSwap
75,baryon_network,Baryon Network
76,baryon-network-viction,BaryonSwap (Viction)
77,baseswap,BaseSwap
78,basex,BaseX
79,baso-finance,Baso Finance
80,bcex,BCEX
81,beamswap,Beamswap
82,beam-swap,Beam Swap
83,beethovenx,Beethoven X
84,beethoven_x_optimism,Beethoven X (Optimism)
85,benswap_smart_bitcoin_cash,Benswap
86,bibox,Bibox
87,bibox_futures,Bibox (Futures)
88,biconomy,Biconomy
89,bifrost_swap,Bifrost Swap
90,bigone,BigONE
91,bigone_futures,BigONE Futures
92,bilaxy,Bilaxy
93,binance,Binance
94,binance_dex,Binance DEX
95,binance_dex_mini,Binance DEX (Mini)
96,binance_futures,Binance (Futures)
97,binance_us,Binance US
98,binaryswap,BinarySwap
99,bingx,BingX
100,bingx_futures,BingX (Futures)
101,bione,BiONE
102,birake,Birake
103,bisq,Bisq
104,biswap,Biswap
105,biswap-v3-1,Biswap V3
106,bit2c,Bit2c
107,bit2me,Bit2Me
108,bitazza,Bitazza
109,bitbank,Bitbank
110,bitbay,zondacrypto
111,bitbegin,Bitbegin
112,bitbns,BitBNS
113,bitcastle,bitcastle
114,bitci,Bitci TR
115,bitcoin_com,FMFW.io
116,bitcointry_exchange,Bitcointry Exchange
117,bit_com,BIT
118,bit_com_futures,BIT (Futures)
119,bitdelta,BitDelta
120,bitdex,Bitdex
121,bitexbook,BITEXBOOK
122,bitexen,Bitexen
123,bitexlive,Bitexlive
124,bitfinex,Bitfinex
125,bitfinex_futures,Bitfinex (Futures)
126,bitflyer,bitFlyer
127,bitflyer_futures,Bitflyer (Futures)
128,bitget,Bitget
129,bitget_futures,Bitget Futures
130,bithash,BitHash
131,bithumb,Bithumb
132,bitker,BITKER
133,bitkub,Bitkub
134,bitlo,Bitlo
135,bitmake,BitMake
136,bitmake_futures,BitMake Futures
137,bitmart,BitMart
138,bitmart_futures,Bitmart Futures
139,bitmax,AscendEX (BitMax)
140,bitmax_futures,AscendEX  (BitMax) (Futures)
141,bitmex,BitMEX (Derivative)
142,bitmex_spot,BitMEX
143,bitonbay,BitOnBay
144,bitopro,BitoPro
145,bitpanda,One Trading
146,bitrue,Bitrue
147,bitrue_futures,Bitrue (Futures)
148,bitso,Bitso
149,bitstamp,Bitstamp
150,bitsten,Bitsten
151,bitstorage,BitStorage
152,bitswap,BitSwap
153,bittime,Bittime
154,bittrex,Bittrex Global
155,bitunix,Bitunix
156,bitunix_futures,Bitunix Futures
157,bitvavo,Bitvavo
158,bitvenus,BitVenus Futures
159,bitvenus_spot,BitVenus
160,bladeswap,BladeSwap
161,bladeswap-volatile-pools-blast,BladeSwap (Volatile Pools)
162,blastdex,BlastDEX
163,blasterswap,BlasterSwap
164,blazeswap,Blazeswap (Songbird)
165,blazeswap-flare,BlazeSwap (Flare) 
166,blitz,Blitz
167,blockchain_com,Blockchain.com
168,blofin,Blofin
169,bluemove,BlueMove
170,blueprint,Blueprint
171,blueshift,Blueshift
172,bobswap_polygon,BobSwap (Polygon)
173,bossswap,BossSwap
174,btc_alpha,BTC-Alpha
175,btcbox,BTCBOX
176,btcmarkets,BTCMarkets
177,btc_trade_ua,BTC Trade UA
178,btcturk,BtcTurk | Kripto
179,btse,BTSE
180,btse_futures,BTSE (Futures)
181,bullish_com,Bullish
182,bunnyswap,BunnySwap
183,butter-xyz,Butter.xyz
184,buyucoin,BuyUcoin
185,bw,BWFX.pro
186,bybit,Bybit (Futures)
187,bybit_spot,Bybit
188,bydfi,BYDFi
189,bydfi-futures,BYDFi (Futures)
190,byte-exchange,Byte Exchange
191,camelot,Camelot
192,camelot-v3,Camelot V3
193,canto_dex,Canto Dex
194,cantoswap,Cantoswap
195,capricorn,Capricorn
196,carbon,Carbon
197,catex,Catex
198,caviarnine,CaviarNine
199,cellana-finance,Cellana Finance
200,cetoswap,Cetoswap (Manta Pacific)
201,cetus,Cetus
202,cex,CEX.IO
203,chainex,ChainEX
204,changelly,Changelly PRO
205,cherryswap,CherrySwap
206,chiliz,ChilizX
207,chronos,Chronos
208,citadelswap,CitadelSwap
209,citex,CITEX
210,claimswap,Claimswap
211,cleopatra-exchange,Cleopatra Exchange
212,clipper-arbitrum,Clipper (Arbitrum)
213,clipper_ethereum,Clipper (Ethereum)
214,clipper_optimism,Clipper (Optimism)
215,clipper_polygon,Clipper (Polygon)
216,clone,Clone
217,cme_futures,CME Group
218,coinbase_international,Coinbase International Exchange
219,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
220,coincall,Coincall
221,coincatch,CoinCatch
222,coincatch_derivatives,CoinCatch Derivatives
223,coincheck,Coincheck
224,coindcx,CoinDCX
225,coinex,CoinEx
226,coinex_futures,CoinEx (Futures)
227,coinjar,CoinJar Exchange
228,coinlist,Coinlist
229,coin_metro,Coinmetro
230,coinone,Coinone
231,coinsbit,Coinsbit
232,coinspro,Coins.ph
233,coinstore,Coinstore
234,coinswap,CoinSwap
235,cointr,CoinTR Pro
236,cointr_derivatives,CoinTR Pro (Derivatives)
237,coinw,CoinW
238,coinw_futures,CoinW (Futures)
239,coinzoom,Coinzoom
240,comethswap,ComethSwap
241,concave,Concave
242,convergence-finance-v2,Convergence Finance
243,c_patex,C-Patex
244,crema_finance,Crema Finance
245,crescent,Crescent
246,crodex,Crodex
247,cronaswap,Cronaswap
248,cronus_finance,Cronus Finance
249,croswap,CroSwap
250,crowdswap-polygon,CrowdSwap (Polygon)
251,cryptal,Cryptal
252,crypto_com,Crypto.com Exchange
253,crypto_com_futures,Crypto.com Exchange (Futures)
254,cryptology,Cryptology
255,cswap,cSwap
256,cube,Cube
257,cubiswap,CUBISwap
258,currency,Currency.com
259,curve_arbitrum,Curve (Arbitrum)
260,curve_avalanche,Curve (Avalanche)
