index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,9inch,9inch
4,aave,Aave
5,aboard-exchange,Aboard Exchange
6,abstradex,AbstraDEX
7,abstradex-x-layer,Abstradex (X Layer)
8,acala_swap,Acala Swap
9,acdx,ACDX
10,ace,Ace
11,acsi_finance,Acsi Finance
12,aerodrome-base,Aerodrome (Base)
13,aerodrome-slipstream,Aerodrome SlipStream
14,aevo,Aevo
15,aftermath_finance,Aftermath Finance
16,agni-finance,Agni Finance
17,agora_swap,Agora Swap
18,aktionariat-ethereum,Aktionariat (Ethereum)
19,alcor,Alcor
20,alexgo,ALEX
21,algebra_finance,Algebra finance
22,alien-base,Alien Base
23,alienfi,AlienFi
24,allinxswap-opbnb,AllInXSwap (opBnb)
25,altcointrader,AltcoinTrader
26,alterdice,AlterDice
27,amaterasu,Amaterasu Finance
28,animeswap,Animeswap
29,antfarm-avalanche,Antfarm (Avalanche)
30,antfarm-ethereum,Antfarm (Ethereum) 
31,apertureswap,ApertureSwap
32,apeswap-arbitrum,Apeswap (Arbitrum)
33,apeswap_bsc,ApeSwap
34,apeswap_polygon,ApeSwap (Polygon)
35,apeswap_telos,Apeswap (Telos)
36,apex-omni,ApeX Omni
37,apex_pro,ApeX Pro
38,aprobit,Aprobit
39,aqx,AQX
40,aqx_derivatives,Flipster
41,arbidex,Arbidex
42,arbswap_arbitrum_one,Arbswap
43,archerswap,Archerswap
44,armada,Armada
45,arthswap,ArthSwap
46,arthswap-astar-zkevm,ArthSwap (Astar zkEVM)
47,ashswap,Ashswap
48,astroport_injective,Astroport (Injective)
49,astroport_neutron,Astroport (Neutron)
50,astroport_osmosis,Astroport (Osmosis)
51,astroport-sei,Astroport (Sei)
52,astroport_v2,Astroport V2
53,astrovault,Astrovault
54,auroraswap,AuroraSwap
55,autoshark_finance,AutoShark Finance
56,aux,AUX Exchange
57,ayin,AYIN
58,azbit,Azbit
59,babydogeswap,BabyDogeSwap
60,babyswap,BabySwap
61,backpack_exchange,Backpack Exchange 
62,baguette,Baguette
63,bakeryswap,Bakeryswap
64,bakeryswap-base,BakerySwap (Base)
65,balanced_network,Balanced
66,balancer,Balancer V2
67,balancer_arbitrum,Balancer V2 (Arbitrum)
68,balancer-gnosis,Balancer V2 (Gnosis)
69,balancer_polygon,Balancer V2 (Polygon)
70,balancer_v1,Balancer V1
71,balancer-v2-avalanche,Balancer V2 (Avalanche)
72,balancer-v2-base,Balancer V2 (Base)
73,balancer-v2-polygon-zkevm,Balancer V2 (Polygon zkEVM) 
74,bancor,Bancor (V2)
75,bancor_v3,Bancor (V3)
76,baptswap,BAPTSwap
77,baryon_network,Baryon Network
78,baryon-network-viction,BaryonSwap (Viction)
79,baseswap,BaseSwap
80,baseswap-v3,BaseSwap V3
81,basex,BaseX
82,basin,Basin
83,baso-finance,Baso Finance
84,bcex,BCEX
85,beamswap,Beamswap
86,beam-swap,Beam Swap
87,beethovenx,Beethoven X
88,beethoven_x_optimism,Beethoven X (Optimism)
89,benswap_smart_bitcoin_cash,Benswap
90,bevmswap,BEVMSwap
91,bibox,Bibox
92,bibox_futures,Bibox (Futures)
93,biconomy,Biconomy
94,bifrost_swap,Bifrost Swap
95,bigone,BigONE
96,bigone_futures,BigONE Futures
97,bilaxy,Bilaxy
98,binance,Binance
99,binance_dex,Binance DEX
100,binance_dex_mini,Binance DEX (Mini)
101,binance_futures,Binance (Futures)
102,binance_us,Binance US
103,binaryswap,BinarySwap
104,bingx,BingX
105,bingx_futures,BingX (Futures)
106,birake,Birake
107,bisq,Bisq
108,biswap,Biswap
109,biswap-v3-1,Biswap V3
110,bit2c,Bit2c
111,bit2me,Bit2Me
112,bitazza,Bitazza
113,bitbank,Bitbank
114,bitbay,zondacrypto
115,bitbegin,Bitbegin
116,bitbns,BitBNS
117,bitcastle,bitcastle
118,bitci,Bitci TR
119,bitcoin_com,FMFW.io
120,bitcointry_exchange,Bitcointry
121,bit_com,BIT
122,bitdelta,BitDelta
123,bitdex,Bitdex
124,bitexbook,BITEXBOOK
125,bitexen,Bitexen
126,bitexlive,Bitexlive
127,bitfinex,Bitfinex
128,bitfinex_futures,Bitfinex (Futures)
129,bitflyer,bitFlyer
130,bitflyer_futures,Bitflyer (Futures)
131,bitgenie-merlin-chain,BitGenie
132,bitget,Bitget
133,bitget_futures,Bitget Futures
134,bithash,BitHash
135,bithumb,Bithumb
136,bitker,BITKER
137,bitkub,Bitkub
138,bitlo,Bitlo
139,bitmake,BitMake
140,bitmake_futures,BitMake Futures
141,bitmart,BitMart
142,bitmart_futures,Bitmart Futures
143,bitmax,AscendEX (BitMax)
144,bitmax_futures,AscendEX  (BitMax) (Futures)
145,bitmex,BitMEX (Derivative)
146,bitmex_spot,BitMEX
147,bitonbay,BitOnBay
148,bitopro,BitoPro
149,bitpanda,One Trading
150,bitrue,Bitrue
151,bitrue_futures,Bitrue (Futures)
152,bitso,Bitso
153,bitstamp,Bitstamp
154,bitsten,Bitsten
155,bitstorage,BitStorage
156,bitswap,BitSwap
157,bitswap-v2-bouncebit,BitSwap V2 (BounceBit)
158,bitswap-v3-bouncebit,BitSwap V3 (BounceBit) 
159,bittime,Bittime
160,bittrex,Bittrex Global
161,bitunix,Bitunix
162,bitunix_futures,Bitunix Futures
163,bitvavo,Bitvavo
164,bitvenus,BitVenus Futures
165,bitvenus_spot,BVOX
166,bladeswap,BladeSwap
167,bladeswap-volatile-pools-blast,BladeSwap (Volatile Pools)
168,blastdex,BlastDEX
169,blasterswap,BlasterSwap
170,blasterswap-v3,Blasterswap V3
171,blazeswap,Blazeswap (Songbird)
172,blazeswap-flare,BlazeSwap (Flare) 
173,blitz,Blitz
174,blockchain_com,Blockchain.com
175,blofin,BloFin (Futures)
176,blofin_spot,BloFin
177,bluelotusdao,BlueLotusDAO
178,bluemove,BlueMove
179,blueprint,Blueprint
180,blueshift,Blueshift
181,bobswap_polygon,BobSwap (Polygon)
182,bossswap,BossSwap
183,btc_alpha,BTC-Alpha
184,btcbox,BTCBOX
185,btcc,BTCC
186,btcmarkets,BTCMarkets
187,btc_trade_ua,BTC Trade UA
188,btcturk,BtcTurk | Kripto
189,btse,BTSE
190,btse_futures,BTSE (Futures)
191,bullish_com,Bullish
192,bunnyswap,BunnySwap
193,butter-xyz,Butter.xyz
194,buyucoin,BuyUcoin
195,bw,BWFX.pro
196,bybit,Bybit (Futures)
197,bybit_spot,Bybit
198,bydfi,BYDFi
199,bydfi-futures,BYDFi (Futures)
200,byte-exchange,Byte Exchange
201,camelot,Camelot
202,camelot-sanko,Camelot (Sanko)
203,camelot-v3,Camelot V3
204,canto_dex,Canto Dex
205,cantoswap,Cantoswap
206,capricorn,Capricorn
207,carbon,Carbon
208,catex,Catex
209,caviarnine,CaviarNine
210,cellana-finance,Cellana Finance
211,cetoswap,Cetoswap (Manta Pacific)
212,cetus,Cetus
213,cex,CEX.IO
214,chainex,ChainEX
215,changelly,Changelly PRO
216,changenow,ChangeNOW
217,cherryswap,CherrySwap
218,chiliz,ChilizX
219,chronos,Chronos
220,citadelswap,CitadelSwap
221,citex,CITEX
222,claimswap,Claimswap
223,cleopatra-exchange,Cleopatra Exchange
224,clipper-arbitrum,Clipper (Arbitrum)
225,clipper_ethereum,Clipper (Ethereum)
226,clipper_optimism,Clipper (Optimism)
227,clipper_polygon,Clipper (Polygon)
228,clone,Clone
229,cme_futures,CME Group
230,coinbase_international,Coinbase International Exchange
231,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
232,coincall,Coincall
233,coincatch,CoinCatch
234,coincatch_derivatives,CoinCatch Derivatives
235,coincheck,Coincheck
236,coindcx,CoinDCX
237,coinex,CoinEx
238,coinex_futures,CoinEx (Futures)
239,coinjar,CoinJar Exchange
240,coinlist,Coinlist
241,coin_metro,Coinmetro
242,coinone,Coinone
243,coinsbit,Coinsbit
244,coinspro,Coins.ph
245,coinstore,Coinstore
246,coinswap,CoinSwap
247,cointr,CoinTR Pro
248,cointr_derivatives,CoinTR Pro (Derivatives)
249,coinw,CoinW
250,coinw_futures,CoinW (Futures)
251,coinzoom,Coinzoom
252,comethswap,ComethSwap
253,common,Common
254,concave,Concave
255,convergence-finance-v2,Convergence Finance
256,c_patex,C-Patex
257,crema_finance,Crema Finance
258,crescent,Crescent
